0,2598592,10,2016,1
1,6362269,11,2016,1
2,6140621,12,2016,1
3,4776972,1,2016,1
4,2046985,2,2016,1
5,1653483,3,2016,1
6,3851299,4,2016,1
7,258726,5,2017,1
8,1328482,6,2017,1
9,3275084,7,2017,1
10,5334627,8,2017,1
11,1590117,9,2017,1
12,2994036,10,2017,1
13,1984363,11,2017,1
14,1293963,12,2017,1
15,2410509,1,2017,1
16,8903136,2,2017,1
17,7015217,3,2017,1
18,4982679,4,2017,1
19,2225916,5,2018,1
20,5839924,6,2018,1
21,4218586,7,2018,1
22,2198513,8,2018,1
23,8537466,9,2018,1
24,4600374,10,2018,1
25,3094841,11,2018,1
26,667462,12,2018,1
27,5489479,1,2018,1
28,1483887,2,2018,1
29,6625081,3,2018,1
30,150212,4,2018,1
31,954246,5,2019,1
32,3790139,6,2019,1
33,2252582,7,2019,1
34,3491362,8,2019,1
35,2011996,9,2019,1
36,5036041,10,2016,20
37,4521428,11,2016,20
38,2027930,12,2016,20
39,5310576,1,2016,20
40,1245396,2,2016,20
41,1822198,3,2016,20
42,971733,4,2016,20
43,1571607,5,2017,20
44,2545948,6,2017,20
45,4938415,7,2017,20
46,3829793,8,2017,20
47,7017907,9,2017,20
48,2809244,10,2017,20
49,1690510,11,2017,20
50,3947478,12,2017,20
51,3973094,1,2017,20
52,4346807,2,2017,20
53,4277610,3,2017,20
54,6311397,4,2017,20
55,7036446,5,2018,20
56,6909245,6,2018,20
57,5199036,7,2018,20
58,2534010,8,2018,20
59,4856071,9,2018,20
60,4573857,10,2018,20
61,5721194,11,2018,20
62,2506590,12,2018,20
63,988360,1,2018,20
64,2860396,2,2018,20
65,3627271,3,2018,20
66,2184025,4,2018,20
67,3605686,5,2019,20
68,8203572,6,2019,20
69,969804,7,2019,20
70,3083340,8,2019,20
71,4864977,9,2019,20
72,2009858,10,2016,20
73,6390382,11,2016,20
74,1860116,12,2016,20
75,3202233,1,2016,20
76,3398793,2,2016,20
77,6448194,3,2016,20
78,1325011,4,2016,20
79,3038667,5,2017,20
80,1013600,6,2017,20
81,6001595,7,2017,20
82,8295316,8,2017,20
83,418936,9,2017,20
84,4622757,10,2017,20
85,7008917,11,2017,20
86,6491678,12,2017,20
87,2326878,1,2017,20
88,2669518,2,2017,20
89,5910121,3,2017,20
90,6391961,4,2017,20
91,6476499,5,2018,20
92,4725740,6,2018,20
93,4116915,7,2018,20
94,1315307,8,2018,20
95,3404869,9,2018,20
96,3875867,10,2018,20
97,835579,11,2018,20
98,4801530,12,2018,20
99,3889718,1,2018,20
100,1289891,2,2018,20
101,5251892,3,2018,20
102,1886308,4,2018,20
103,4070608,5,2019,20
104,2412685,6,2019,20
105,5269412,7,2019,20
106,3448306,8,2019,20
107,1877199,9,2019,20
108,5515098,10,2016,21
